GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Area.managed,feature.Area.managed,1
_ALL_,feature.Area.og1.IDF_FDI_H,feature.Area.og1.IDF_FDI_H,1
_ALL_,feature.Area.og1.IDF_FDI_L,feature.Area.og1.IDF_FDI_L,1
_ALL_,feature.Area.og1.IDF_FDI_M,feature.Area.og1.IDF_FDI_M,1
_ALL_,feature.Area.og1.IDF_FD_H,feature.Area.og1.IDF_FD_H,1
_ALL_,feature.Area.og1.IDF_FD_L,feature.Area.og1.IDF_FD_L,1
_ALL_,feature.Area.og1.IDF_FD_M,feature.Area.og1.IDF_FD_M,1
_ALL_,feature.Area.og1.IDF_PLI_H,feature.Area.og1.IDF_PLI_H,1
_ALL_,feature.Area.og1.IDF_PLI_L,feature.Area.og1.IDF_PLI_L,1
_ALL_,feature.Area.og1.IDF_PLI_M,feature.Area.og1.IDF_PLI_M,1
_ALL_,feature.Area.og1.IDF_PL_H,feature.Area.og1.IDF_PL_H,1
_ALL_,feature.Area.og1.IDF_PL_L,feature.Area.og1.IDF_PL_L,1
_ALL_,feature.Area.og1.IDF_PL_M,feature.Area.og1.IDF_PL_M,1
_ALL_,feature.Area.og1.SBPS_PLI_H,feature.Area.og1.SBPS_PLI_H,1
_ALL_,feature.Area.og1.SBPS_PLI_L,feature.Area.og1.SBPS_PLI_L,1
_ALL_,feature.Area.og1.SBPS_PLI_M,feature.Area.og1.SBPS_PLI_M,1
_ALL_,feature.Area.og1.SBPS_PL_H,feature.Area.og1.SBPS_PL_H,1
_UNMANAGED_,feature.Area.og1.SBPS_PL_L,feature.Area.og1.SBPS_PL_L,1
_ALL_,feature.Area.og1.SBPS_PL_M,feature.Area.og1.SBPS_PL_M,1
_ALL_,feature.Area.og1.SBPS_SX_H,feature.Area.og1.SBPS_SX_H,1
_ALL_,feature.Area.og1.SBPS_SX_L,feature.Area.og1.SBPS_SX_L,1
_ALL_,feature.Area.og1.SBPS_SX_M,feature.Area.og1.SBPS_SX_M,1
_ALL_,feature.Area.og1.total,feature.Area.og1.total,1
_ALL_,feature.Area.og2.IDF_FDI_H,feature.Area.og2.IDF_FDI_H,1
_ALL_,feature.Area.og2.IDF_FDI_L,feature.Area.og2.IDF_FDI_L,1
_ALL_,feature.Area.og2.IDF_FDI_M,feature.Area.og2.IDF_FDI_M,1
_ALL_,feature.Area.og2.IDF_FD_H,feature.Area.og2.IDF_FD_H,1
_ALL_,feature.Area.og2.IDF_FD_L,feature.Area.og2.IDF_FD_L,1
_ALL_,feature.Area.og2.IDF_FD_M,feature.Area.og2.IDF_FD_M,1
_ALL_,feature.Area.og2.IDF_PLI_H,feature.Area.og2.IDF_PLI_H,1
_ALL_,feature.Area.og2.IDF_PLI_L,feature.Area.og2.IDF_PLI_L,1
_ALL_,feature.Area.og2.IDF_PLI_M,feature.Area.og2.IDF_PLI_M,1
_ALL_,feature.Area.og2.IDF_PL_H,feature.Area.og2.IDF_PL_H,1
_ALL_,feature.Area.og2.IDF_PL_L,feature.Area.og2.IDF_PL_L,1
_ALL_,feature.Area.og2.IDF_PL_M,feature.Area.og2.IDF_PL_M,1
_ALL_,feature.Area.og2.SBPS_PLI_H,feature.Area.og2.SBPS_PLI_H,1
_ALL_,feature.Area.og2.SBPS_PLI_L,feature.Area.og2.SBPS_PLI_L,1
_ALL_,feature.Area.og2.SBPS_PLI_M,feature.Area.og2.SBPS_PLI_M,1
_ALL_,feature.Area.og2.SBPS_PL_H,feature.Area.og2.SBPS_PL_H,1
_UNMANAGED_,feature.Area.og2.SBPS_PL_L,feature.Area.og2.SBPS_PL_L,1
_ALL_,feature.Area.og2.SBPS_PL_M,feature.Area.og2.SBPS_PL_M,1
_ALL_,feature.Area.og2.SBPS_SX_H,feature.Area.og2.SBPS_SX_H,1
_ALL_,feature.Area.og2.SBPS_SX_L,feature.Area.og2.SBPS_SX_L,1
_ALL_,feature.Area.og2.SBPS_SX_M,feature.Area.og2.SBPS_SX_M,1
_ALL_,feature.Area.og2.total,feature.Area.og2.total,1
_UNMANAGED_,feature.Area.unmanaged,feature.Area.unmanaged,1
_MANAGED_,feature.Yield.managed.Total,feature.Yield.managed.Total,1
_UNMANAGED_,feature.Yield.unmanaged.Total,feature.Yield.unmanaged.Total,1
_MANAGED_,product.HarvestedVolume.managed.Total.CC,product.HarvestedVolume.managed.Total.CC,1
_MANAGED_,product.Treated.managed.CC,product.Treated.managed.CC,1
_MANAGED_,product.Yield.managed.Total,product.Yield.managed.Total,1
