CURVE,X,Y
11,0,1
53,99,0
53,100,1
43,99,0
43,100,1
160,99,0
160,100,157.4
160,110,178.3
160,120,196.3
160,130,211.8
160,140,223
160,150,232.4
160,160,241.6
160,170,249.7
160,180,257
160,190,263.2
160,200,268.4
160,210,273.1
160,220,277.2
160,230,280.7
160,240,283.7
160,250,286.1
160,260,288.4
160,270,290.2
160,280,291.8
160,290,293.1
160,300,294.1
160,310,294.9
160,320,295.5
160,330,296
160,340,296.4
160,350,296.6
127,99,0
127,100,157.4
127,110,178.3
127,120,196.3
127,130,211.8
127,140,223
127,150,232.4
127,160,241.6
127,170,249.7
127,180,257
127,190,263.2
127,200,268.4
127,210,273.1
127,220,277.2
127,230,280.7
127,240,283.7
127,250,286.1
127,260,288.4
127,270,290.2
127,280,291.8
127,290,293.1
127,300,294.1
127,310,294.9
127,320,295.5
127,330,296
127,340,296.4
127,350,296.6
83,99,0
83,100,157.4
83,110,178.3
83,120,196.3
83,130,211.8
83,140,223
83,150,232.4
83,160,241.6
83,170,249.7
83,180,257
83,190,263.2
83,200,268.4
83,210,273.1
83,220,277.2
83,230,280.7
83,240,283.7
83,250,286.1
83,260,288.4
83,270,290.2
83,280,291.8
83,290,293.1
83,300,294.1
83,310,294.9
83,320,295.5
83,330,296
83,340,296.4
83,350,296.6
177,99,0
177,100,175
177,110,198.5
177,120,219.1
177,130,236.1
177,140,247.3
177,150,256
177,160,264.5
177,170,272.1
177,180,278.4
177,190,283.4
177,200,287.4
177,210,290.6
177,220,293.1
177,230,295
177,240,296.4
177,250,297.3
177,260,297.9
177,270,298.2
177,280,298.1
177,290,297.9
177,300,297.5
177,310,296.9
177,320,296.2
177,330,295.4
177,340,294.5
177,350,293.5
90,99,0
90,100,175
90,110,198.5
90,120,219.1
90,130,236.1
90,140,247.3
90,150,256
90,160,264.5
90,170,272.1
90,180,278.4
90,190,283.4
90,200,287.4
90,210,290.6
90,220,293.1
90,230,295
90,240,296.4
90,250,297.3
90,260,297.9
90,270,298.2
90,280,298.1
90,290,297.9
90,300,297.5
90,310,296.9
90,320,296.2
90,330,295.4
90,340,294.5
90,350,293.5
117,99,0
117,100,165.8
117,110,188
117,120,207.2
117,130,223.7
117,140,235.7
117,150,245.8
117,160,255.6
117,170,264.4
117,180,272.1
117,190,278.8
117,200,284.4
117,210,289.3
117,220,293.7
117,230,297.5
117,240,300.7
117,250,303.4
117,260,305.7
117,270,307.7
117,280,309.4
117,290,310.8
117,300,311.9
117,310,312.8
117,320,313.4
117,330,313.9
117,350,314.5
75,99,0
75,100,165.8
75,110,188
75,120,207.2
75,130,223.7
75,140,235.7
75,150,245.8
75,160,255.6
75,170,264.4
75,180,272.1
75,190,278.8
75,200,284.4
75,210,289.3
75,220,293.7
75,230,297.5
75,240,300.7
75,250,303.4
75,260,305.7
75,270,307.7
75,280,309.4
75,290,310.8
75,300,311.9
75,310,312.8
75,320,313.4
75,330,313.9
75,350,314.5
57,99,0
57,100,165.8
57,110,188
57,120,207.2
57,130,223.7
57,140,235.7
57,150,245.8
57,160,255.6
57,170,264.4
57,180,272.1
57,190,278.8
57,200,284.4
57,210,289.3
57,220,293.7
57,230,297.5
57,240,300.7
57,250,303.4
57,260,305.7
57,270,307.7
57,280,309.4
57,290,310.8
57,300,311.9
57,310,312.8
57,320,313.4
57,330,313.9
57,350,314.5
52,99,0
52,100,157.4
52,110,178.3
52,120,196.3
52,130,211.8
52,140,223
52,150,232.4
52,160,241.6
52,170,249.7
52,180,257
52,190,263.2
52,200,268.4
52,210,273.1
52,220,277.2
52,230,280.7
52,240,283.7
52,250,286.1
52,260,288.4
52,270,290.2
52,280,291.8
52,290,293.1
52,300,294.1
52,310,294.9
52,320,295.5
52,330,296
52,340,296.4
52,350,296.6
150,99,0
150,100,151.8
150,110,173.2
150,120,191.6
150,130,207.2
150,140,217.6
150,150,225.8
150,160,233.6
150,170,240.7
150,180,246.5
150,190,251.2
150,200,255
150,210,258
150,220,260.3
150,230,262.2
150,240,263.5
150,250,264.5
150,260,265.1
150,270,265.4
150,280,265.5
150,290,265.4
150,300,265.1
150,310,264.7
150,320,264.1
150,330,263.4
150,350,261.8
157,99,0
157,100,151.8
157,110,173.2
157,120,191.6
157,130,207.2
157,140,217.6
157,150,225.8
157,160,233.6
157,170,240.7
157,180,246.5
157,190,251.2
157,200,255
157,210,258
157,220,260.3
157,230,262.2
157,240,263.5
157,250,264.5
157,260,265.1
157,270,265.4
157,280,265.5
157,290,265.4
157,300,265.1
157,310,264.7
157,320,264.1
157,330,263.4
157,350,261.8
94,99,0
94,100,151.8
94,110,173.2
94,120,191.6
94,130,207.2
94,140,217.6
94,150,225.8
94,160,233.6
94,170,240.7
94,180,246.5
94,190,251.2
94,200,255
94,210,258
94,220,260.3
94,230,262.2
94,240,263.5
94,250,264.5
94,260,265.1
94,270,265.4
94,280,265.5
94,290,265.4
94,300,265.1
94,310,264.7
94,320,264.1
94,330,263.4
94,350,261.8
42,99,0
42,100,151.8
42,110,173.2
42,120,191.6
42,130,207.2
42,140,217.6
42,150,225.8
42,160,233.6
42,170,240.7
42,180,246.5
42,190,251.2
42,200,255
42,210,258
42,220,260.3
42,230,262.2
42,240,263.5
42,250,264.5
42,260,265.1
42,270,265.4
42,280,265.5
42,290,265.4
42,300,265.1
42,310,264.7
42,320,264.1
42,330,263.4
42,350,261.8
171,109,0
171,110,1
188,109,0
188,110,102.4
188,120,117.5
188,130,130.5
188,140,138.2
188,150,143.9
188,160,150.2
188,170,156.3
188,180,161.4
188,190,165.5
188,200,168.8
188,210,171.5
188,220,173.6
188,230,175.2
188,240,176.3
188,250,177.1
188,260,177.6
188,270,177.8
188,280,177.8
188,290,177.7
188,300,177.4
188,310,177
188,320,176.5
188,330,175.9
188,350,174.5
166,109,0
166,110,102.4
166,120,117.5
166,130,130.5
166,140,138.2
166,150,143.9
166,160,150.2
166,170,156.3
166,180,161.4
166,190,165.5
166,200,168.8
166,210,171.5
166,220,173.6
166,230,175.2
166,240,176.3
166,250,177.1
166,260,177.6
166,270,177.8
166,280,177.8
166,290,177.7
166,300,177.4
166,310,177
166,320,176.5
166,330,175.9
166,350,174.5
170,109,0
170,110,80
170,120,91.8
170,130,101.9
170,140,106.7
170,150,110
170,160,114.5
170,170,119.3
170,180,123.3
170,190,126.5
170,200,129
170,210,131.1
170,220,132.7
170,230,134
170,240,134.9
170,250,135.5
170,260,135.9
170,270,136.1
170,280,136.2
170,290,136.1
170,300,135.9
170,310,135.6
170,320,135.2
170,350,133.7
