TRACK,LABEL,METHOD,CURVE
1,feature.Area.og1.IDF_FD_L,,0
1,feature.Area.og1.total,,0
1,feature.Area.og2.IDF_FD_L,,1
1,feature.Area.og2.total,,1
1,feature.Area.unmanaged,,2
1,feature.Yield.unmanaged.Total,,3
2,feature.Area.managed,,2
2,feature.Area.og1.IDF_FD_L,,0
2,feature.Area.og1.total,,0
2,feature.Area.og2.IDF_FD_L,,1
2,feature.Area.og2.total,,1
2,feature.Yield.managed.Total,,4
3,feature.Area.managed,,2
3,feature.Area.og1.IDF_FD_L,,0
3,feature.Area.og1.total,,0
3,feature.Area.og2.IDF_FD_L,,1
3,feature.Area.og2.total,,1
3,feature.Yield.managed.Total,,4
4,feature.Area.og1.IDF_FDI_L,,0
4,feature.Area.og1.total,,0
4,feature.Area.og2.IDF_FDI_L,,1
4,feature.Area.og2.total,,1
4,feature.Area.unmanaged,,2
4,feature.Yield.unmanaged.Total,,7
5,feature.Area.managed,,2
5,feature.Area.og1.IDF_FDI_L,,0
5,feature.Area.og1.total,,0
5,feature.Area.og2.IDF_FDI_L,,1
5,feature.Area.og2.total,,1
5,feature.Yield.managed.Total,,8
6,feature.Area.managed,,2
6,feature.Area.og1.IDF_FDI_L,,0
6,feature.Area.og1.total,,0
6,feature.Area.og2.IDF_FDI_L,,1
6,feature.Area.og2.total,,1
6,feature.Yield.managed.Total,,8
7,feature.Area.og1.IDF_PL_M,,0
7,feature.Area.og1.total,,0
7,feature.Area.og2.IDF_PL_M,,1
7,feature.Area.og2.total,,1
7,feature.Area.unmanaged,,2
7,feature.Yield.unmanaged.Total,,10
8,feature.Area.managed,,11
8,feature.Area.og1.IDF_PL_M,,12
8,feature.Area.og1.total,,12
8,feature.Area.og2.IDF_PL_M,,13
8,feature.Area.og2.total,,13
8,feature.Yield.managed.Total,,14
9,feature.Area.managed,,11
9,feature.Area.og1.IDF_PL_M,,12
9,feature.Area.og1.total,,12
9,feature.Area.og2.IDF_PL_M,,13
9,feature.Area.og2.total,,13
9,feature.Yield.managed.Total,,14
10,feature.Area.og1.IDF_FDI_M,,17
10,feature.Area.og1.total,,17
10,feature.Area.og2.IDF_FDI_M,,1
10,feature.Area.og2.total,,1
10,feature.Area.unmanaged,,2
10,feature.Yield.unmanaged.Total,,18
11,feature.Area.managed,,2
11,feature.Area.og1.IDF_FDI_M,,17
11,feature.Area.og1.total,,17
11,feature.Area.og2.IDF_FDI_M,,1
11,feature.Area.og2.total,,1
11,feature.Yield.managed.Total,,19
12,feature.Area.managed,,2
12,feature.Area.og1.IDF_FDI_M,,17
12,feature.Area.og1.total,,17
12,feature.Area.og2.IDF_FDI_M,,1
12,feature.Area.og2.total,,1
12,feature.Yield.managed.Total,,19
13,feature.Area.og1.IDF_FD_L,,0
13,feature.Area.og1.total,,0
13,feature.Area.og2.IDF_FD_L,,1
