,curve_id,curve_type
0,2901000,untreated
1,2921000,treated
2,2902000,untreated
3,2922000,treated
4,2903000,untreated
5,2923000,treated
6,2901001,untreated
7,2921001,treated
8,2902001,untreated
9,2922001,treated
10,2903001,untreated
11,2923001,treated
12,2901002,untreated
13,2921002,treated
14,2902002,untreated
15,2922002,treated
16,2903002,untreated
17,2923002,treated
18,2901003,untreated
19,2921003,treated
20,2902003,untreated
21,2922003,treated
22,2903003,untreated
23,2923003,treated
24,2901004,untreated
25,2921004,treated
26,2902004,untreated
27,2922004,treated
28,2903004,untreated
29,2923004,treated
30,2901005,untreated
31,2921005,treated
32,2902005,untreated
33,2922005,treated
34,2903005,untreated
35,2923005,treated
36,2901006,untreated
37,2921006,treated
38,2902006,untreated
39,2922006,treated
40,2903006,untreated
41,2923006,treated
42,2901007,untreated
43,2921007,treated
44,2902007,untreated
45,2922007,treated
46,2903007,untreated
47,2923007,treated
48,2901008,untreated
49,2921008,treated
50,2902008,untreated
51,2922008,treated
52,2903008,untreated
53,2923008,treated
54,2901009,untreated
55,2921009,treated
56,2902009,untreated
57,2922009,treated
58,2903009,untreated
59,2923009,treated
60,2901010,untreated
61,2921010,treated
62,2902010,untreated
63,2922010,treated
64,2903010,untreated
65,2923010,treated
66,2901011,untreated
67,2921011,treated
68,2902011,untreated
69,2922011,treated
70,2903011,untreated
71,2923011,treated
72,2901012,untreated
73,2921012,treated
74,2902012,untreated
75,2922012,treated
76,2903012,untreated
77,2923012,treated
78,2901013,untreated
79,2921013,treated
80,2902013,untreated
81,2922013,treated
82,2903013,untreated
83,2923013,treated
84,2901014,untreated
85,2921014,treated
86,2902014,untreated
87,2922014,treated
88,2903014,untreated
89,2923014,treated
90,2901015,untreated
91,2921015,treated
92,2902015,untreated
93,2922015,treated
94,2903015,untreated
95,2923015,treated
96,2901016,untreated
97,2921016,treated
98,2902016,untreated
99,2922016,treated
100,2903016,untreated
101,2923016,treated
102,2901017,untreated
103,2921017,treated
104,2902017,untreated
105,2922017,treated
106,2903017,untreated
107,2923017,treated
