Unnamed: 0,au_id,tsa,stratum_code,si_level,canfi_species,source_local_au_id,source_managed_local_au_id,source_unmanaged_local_au_id,untreated_curve_id,treated_curve_id,unmanaged_curve_id,managed_curve_id
0,2901000,29,SBPS_PLI,L,204,1000,21000,1000,2901000,2921000,2901000,2921000
1,2902000,29,SBPS_PLI,M,204,2000,22000,2000,2902000,2922000,2902000,2922000
2,2903000,29,SBPS_PLI,H,204,3000,23000,3000,2903000,2923000,2903000,2923000
6,2901002,29,IDF_FD,L,500,1002,21002,1002,2901002,2921002,2901002,2921002
7,2902002,29,IDF_FD,M,500,2002,22002,2002,2902002,2922002,2902002,2922002
8,2903002,29,IDF_FD,H,500,3002,23002,3002,2903002,2923002,2903002,2923002
9,2901003,29,IDF_FDI,L,500,1003,21003,1003,2901003,2921003,2901003,2921003
10,2902003,29,IDF_FDI,M,500,2003,22003,2003,2902003,2922003,2902003,2922003
11,2903003,29,IDF_FDI,H,500,3003,23003,3003,2903003,2923003,2903003,2923003
15,2901005,29,SBPS_PL,L,204,1005,21005,1005,2901005,2921005,2901005,2921005
16,2902005,29,SBPS_PL,M,204,2005,22005,2005,2902005,2922005,2902005,2922005
17,2903005,29,SBPS_PL,H,204,3005,23005,3005,2903005,2923005,2903005,2923005
24,2901008,29,IDF_PL,L,204,1008,21008,1008,2901008,2921008,2901008,2921008
25,2902008,29,IDF_PL,M,204,2008,22008,2008,2902008,2922008,2902008,2922008
26,2903008,29,IDF_PL,H,204,3008,23008,3008,2903008,2923008,2903008,2923008
30,2901010,29,SBPS_SX,L,100,1010,21010,1010,2901010,2921010,2901010,2921010
31,2902010,29,SBPS_SX,M,100,2010,22010,2010,2902010,2922010,2902010,2922010
32,2903010,29,SBPS_SX,H,100,3010,23010,3010,2903010,2923010,2903010,2923010
33,2901011,29,IDF_PLI,L,204,1011,21011,1011,2901011,2921011,2901011,2921011
34,2902011,29,IDF_PLI,M,204,2011,22011,2011,2902011,2922011,2902011,2922011
35,2903011,29,IDF_PLI,H,204,3011,23011,3011,2903011,2923011,2903011,2923011
