key,au,ifm,origin,silv_state,total_area,n_ages,age_range
"(2901000, 'managed', 'planted', 'cc_pl')",2901000,managed,planted,cc_pl,75.23150887193572,2,40-59
"(2901000, 'unmanaged', 'natural', 'baseline')",2901000,unmanaged,natural,baseline,3676.7461024498393,57,67-151
"(2901000, 'unmanaged', 'planted', 'cc_pl')",2901000,unmanaged,planted,cc_pl,1.43918840734718,1,51-51
"(2901002, 'managed', 'natural', 'baseline')",2901002,managed,natural,baseline,4878.718050473364,87,61-436
"(2901002, 'managed', 'planted', 'cc_pl')",2901002,managed,planted,cc_pl,1601.0086254321693,8,0-60
"(2901002, 'unmanaged', 'natural', 'baseline')",2901002,unmanaged,natural,baseline,2102.4685204513507,83,61-436
"(2901002, 'unmanaged', 'planted', 'cc_pl')",2901002,unmanaged,planted,cc_pl,43.156976779400004,6,0-55
"(2901003, 'managed', 'natural', 'baseline')",2901003,managed,natural,baseline,14692.607033115262,163,61-364
"(2901003, 'managed', 'planted', 'cc_pl')",2901003,managed,planted,cc_pl,450.5917084230698,11,44-60
"(2901003, 'unmanaged', 'natural', 'baseline')",2901003,unmanaged,natural,baseline,3140.757061695196,139,61-364
"(2901003, 'unmanaged', 'planted', 'cc_pl')",2901003,unmanaged,planted,cc_pl,17.25170511807783,8,44-60
"(2901005, 'unmanaged', 'natural', 'baseline')",2901005,unmanaged,natural,baseline,50.1110824056727,4,98-131
"(2901008, 'managed', 'natural', 'baseline')",2901008,managed,natural,baseline,203.18146796949384,9,86-197
"(2901008, 'unmanaged', 'natural', 'baseline')",2901008,unmanaged,natural,baseline,59.080816067677326,8,86-196
"(2901010, 'managed', 'natural', 'baseline')",2901010,managed,natural,baseline,91.40266547597798,10,96-160
"(2901010, 'unmanaged', 'natural', 'baseline')",2901010,unmanaged,natural,baseline,8.407033052068027,5,116-160
"(2901011, 'managed', 'natural', 'baseline')",2901011,managed,natural,baseline,5522.9745923934715,78,61-225
"(2901011, 'managed', 'planted', 'cc_pl')",2901011,managed,planted,cc_pl,3034.3611307485767,16,25-60
"(2901011, 'unmanaged', 'natural', 'baseline')",2901011,unmanaged,natural,baseline,1453.4697494402003,64,61-236
"(2901011, 'unmanaged', 'planted', 'cc_pl')",2901011,unmanaged,planted,cc_pl,316.80000363062413,12,28-60
"(2902000, 'managed', 'natural', 'baseline')",2902000,managed,natural,baseline,1011.8238466710152,40,61-317
"(2902000, 'managed', 'planted', 'cc_pl')",2902000,managed,planted,cc_pl,954.0696212642264,10,29-40
"(2902000, 'unmanaged', 'natural', 'baseline')",2902000,unmanaged,natural,baseline,521.8206402082775,31,71-317
"(2902000, 'unmanaged', 'planted', 'cc_pl')",2902000,unmanaged,planted,cc_pl,0.519855462222103,2,39-40
"(2902002, 'managed', 'natural', 'baseline')",2902002,managed,natural,baseline,3138.0670016982835,58,62-336
"(2902002, 'managed', 'planted', 'cc_pl')",2902002,managed,planted,cc_pl,1485.0407688214418,19,0-57
"(2902002, 'unmanaged', 'natural', 'baseline')",2902002,unmanaged,natural,baseline,933.0859118296024,57,62-336
"(2902002, 'unmanaged', 'planted', 'cc_pl')",2902002,unmanaged,planted,cc_pl,89.19272184899248,10,0-57
"(2902003, 'managed', 'natural', 'baseline')",2902003,managed,natural,baseline,9194.636261191965,150,61-436
"(2902003, 'managed', 'planted', 'cc_pl')",2902003,managed,planted,cc_pl,294.0876693437553,10,31-58
"(2902003, 'unmanaged', 'natural', 'baseline')",2902003,unmanaged,natural,baseline,1596.0698348741735,122,61-436
"(2902003, 'unmanaged', 'planted', 'cc_pl')",2902003,unmanaged,planted,cc_pl,8.4300180178443,8,33-58
"(2902005, 'managed', 'natural', 'baseline')",2902005,managed,natural,baseline,3.30109060824731,1,137-137
"(2902005, 'managed', 'planted', 'cc_pl')",2902005,managed,planted,cc_pl,305.2231578338439,7,15-44
"(2902005, 'unmanaged', 'natural', 'baseline')",2902005,unmanaged,natural,baseline,12.592754809017551,2,101-140
"(2902005, 'unmanaged', 'planted', 'cc_pl')",2902005,unmanaged,planted,cc_pl,2.234272182573444,2,34-37
"(2902008, 'managed', 'natural', 'baseline')",2902008,managed,natural,baseline,261.4332401575389,15,70-182
"(2902008, 'managed', 'planted', 'cc_pl')",2902008,managed,planted,cc_pl,46.86622695295091,3,33-57
"(2902008, 'unmanaged', 'natural', 'baseline')",2902008,unmanaged,natural,baseline,80.0669542216351,9,80-182
"(2902008, 'unmanaged', 'planted', 'cc_pl')",2902008,unmanaged,planted,cc_pl,2.633023624595099,2,33-49
"(2902010, 'managed', 'natural', 'baseline')",2902010,managed,natural,baseline,93.154579922286,7,81-185
"(2902010, 'unmanaged', 'natural', 'baseline')",2902010,unmanaged,natural,baseline,164.81072282493602,9,118-171
"(2902011, 'managed', 'natural', 'baseline')",2902011,managed,natural,baseline,1649.8835001900263,61,61-275
"(2902011, 'managed', 'planted', 'cc_pl')",2902011,managed,planted,cc_pl,8042.559392151267,40,4-58
"(2902011, 'unmanaged', 'natural', 'baseline')",2902011,unmanaged,natural,baseline,306.31084796334835,48,61-275
"(2902011, 'unmanaged', 'planted', 'cc_pl')",2902011,unmanaged,planted,cc_pl,99.29532892287872,31,10-58
"(2903000, 'managed', 'natural', 'baseline')",2903000,managed,natural,baseline,76.59399643533673,15,75-225
"(2903000, 'managed', 'planted', 'cc_pl')",2903000,managed,planted,cc_pl,4726.282338140579,25,8-43
"(2903000, 'unmanaged', 'natural', 'baseline')",2903000,unmanaged,natural,baseline,50.503711509727395,9,96-225
"(2903000, 'unmanaged', 'planted', 'cc_pl')",2903000,unmanaged,planted,cc_pl,65.28192075133798,13,8-43
"(2903002, 'managed', 'natural', 'baseline')",2903002,managed,natural,baseline,1190.4720520297697,39,65-336
"(2903002, 'managed', 'planted', 'cc_pl')",2903002,managed,planted,cc_pl,532.7119325069607,7,0-51
"(2903002, 'unmanaged', 'natural', 'baseline')",2903002,unmanaged,natural,baseline,1011.6799104312274,41,61-225
