key,au,ifm,origin,silv_state,total_area,n_ages,age_range
"(2903002, 'unmanaged', 'planted', 'cc_pl')",2903002,unmanaged,planted,cc_pl,24.359458459856928,5,0-60
"(2903003, 'managed', 'natural', 'baseline')",2903003,managed,natural,baseline,3980.8084447870156,60,61-311
"(2903003, 'managed', 'planted', 'cc_pl')",2903003,managed,planted,cc_pl,1123.222098665194,21,3-60
"(2903003, 'unmanaged', 'natural', 'baseline')",2903003,unmanaged,natural,baseline,539.3637558665948,47,70-311
"(2903003, 'unmanaged', 'planted', 'cc_pl')",2903003,unmanaged,planted,cc_pl,85.03890608854742,9,3-60
"(2903005, 'managed', 'planted', 'cc_pl')",2903005,managed,planted,cc_pl,55.09844180455401,2,17-26
"(2903005, 'unmanaged', 'natural', 'baseline')",2903005,unmanaged,natural,baseline,37.574617423253756,7,95-165
"(2903008, 'managed', 'natural', 'baseline')",2903008,managed,natural,baseline,110.62796617811068,12,74-171
"(2903008, 'managed', 'planted', 'cc_pl')",2903008,managed,planted,cc_pl,13.9897576668808,1,23-23
"(2903008, 'unmanaged', 'natural', 'baseline')",2903008,unmanaged,natural,baseline,9.94396464298025,7,105-165
"(2903008, 'unmanaged', 'planted', 'cc_pl')",2903008,unmanaged,planted,cc_pl,22.157459700323255,1,23-23
"(2903010, 'managed', 'natural', 'baseline')",2903010,managed,natural,baseline,56.195169343864805,9,78-165
"(2903010, 'managed', 'planted', 'cc_pl')",2903010,managed,planted,cc_pl,23.618079063164117,1,0-0
"(2903010, 'unmanaged', 'natural', 'baseline')",2903010,unmanaged,natural,baseline,36.57640709134133,6,95-165
"(2903010, 'unmanaged', 'planted', 'cc_pl')",2903010,unmanaged,planted,cc_pl,3.262263203056812,1,0-0
"(2903011, 'managed', 'natural', 'baseline')",2903011,managed,natural,baseline,103.48965787549102,10,61-225
"(2903011, 'managed', 'planted', 'cc_pl')",2903011,managed,planted,cc_pl,4834.996838683056,31,8-57
"(2903011, 'unmanaged', 'natural', 'baseline')",2903011,unmanaged,natural,baseline,14.232710445571309,7,61-145
"(2903011, 'unmanaged', 'planted', 'cc_pl')",2903011,unmanaged,planted,cc_pl,54.74171704226499,20,8-41
